model,dataset,temperature,pass@1,pass@2,pass@4,pass@8,pass@16,pass@32,pass@64,maj@1
Base,AIME25,0.6,0.0421875,0.07516534391534392,0.12320242921776504,0.18128889387367023,0.23961027795305614,0.2983316058113173,0.36666666666666664,0.03333333333333333
Base,AIME25,1.0,0.027604166666666666,0.050859788359788355,0.08742330000923339,0.13529558690451532,0.18721323170113374,0.24577155788505098,0.3333333333333333,0.03333333333333333
Base,AIME25,1.2,0.0125,0.02433862433862434,0.046205134177767705,0.08376853197742219,0.1409901531012373,0.21661227178037404,0.3,0.0
Base,AMC23,0.6,0.34453125,0.4856646825396826,0.6167664501019869,0.7223481382926045,0.8020634838961653,0.8684019719248773,0.925,0.475
Base,AMC23,1.0,0.25703125,0.40048363095238104,0.5535909052277707,0.6896634577458923,0.796637060693408,0.8779871769792843,0.95,0.4
Base,AMC23,1.2,0.14296875,0.24840029761904764,0.39225521580922174,0.550051849254585,0.689023163022701,0.7957030728721761,0.875,0.075
Base,Math500,0.6,0.359875,0.5127666666666655,0.6574098901098889,0.7706188034188028,0.846,,,0.452
Base,Math500,1.0,0.2885,0.44829999999999876,0.619284615384614,0.7660602952602947,0.86,,,0.4
Base,Math500,1.2,0.188,0.31794999999999923,0.4868285714285716,0.6621471639471637,0.8,,,0.162
Instruct,AIME25,0.6,0.0921875,0.14781746031746035,0.20977457967145963,0.2692498743982762,0.3256711423070705,0.3770533705758516,0.43333333333333335,0.13333333333333333
Instruct,AIME25,1.0,0.08645833333333333,0.14546957671957675,0.21983182661395245,0.2965726567494123,0.36933502188524076,0.4454823960285174,0.5333333333333333,0.16666666666666666
Instruct,AIME25,1.2,0.08229166666666667,0.13445767195767194,0.19530855220635762,0.2540487875870073,0.3051140187387668,0.3476601252475383,0.4,0.2
Instruct,AMC23,0.6,0.53359375,0.6329737103174604,0.7076721893807761,0.7636687866064386,0.8159514287388678,0.866448823688384,0.925,0.675
Instruct,AMC23,1.0,0.52265625,0.6347222222222222,0.7255176068973332,0.7952909321179706,0.8508105079202247,0.8871478717582424,0.9,0.65
Instruct,AMC23,1.2,0.469140625,0.5760292658730158,0.6672289715066355,0.7420486527165381,0.8007481921439309,0.8377624632358929,0.85,0.575
Instruct,Math500,0.6,0.75,0.8049000000000002,0.8482868131868125,0.8818941724941722,0.902,,,0.794
Instruct,Math500,1.0,0.74425,0.8089666666666668,0.8576934065934059,0.8931853923853923,0.922,,,0.802
Instruct,Math500,1.2,0.702,0.7766166666666666,0.8300142857142853,0.8704243978243975,0.902,,,0.762
